dataset,setting,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,peer_to_peer_comm,global_readout_comm,total_comm,protocol_type,label_protocol,training_protocol,validation_protocol,validation_evaluator,active_party_id,passive_label_access,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,dropout_protocol,dropout_rate,dropout_seed,remaining_parties,dropped_party_ids,test_acc_after_dropout,local_post_consensus_acc_after_dropout,num_edges,peer_comm,readout_comm,control_plane_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint,auc,f1,ndcg_at_10
MovieLens1M,hard,42,single_party_best,5,0.685106098651886,0.6867207884788513,0.6727454193735662,0.6727454193735662,0.6867207884788513,0.6867207884788513,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.688650369644165,0.6153837641080221,0.5717649459838867,0.5623918771743774,0.6867207884788513,none,0.0,0,15,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7405683727484887,0.7403731031025639,0.8469393514901439
MovieLens1M,hard,42,local_uniform_vote,5,0.684216320514679,0.6875656247138977,0.6754619247593912,0.6754619247593912,0.6875656247138977,0.6875656247138977,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.688650369644165,0.6153837641080221,0.5717649459838867,0.5623918771743774,0.6867207884788513,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7421874335519334,0.7381365377041487,0.8435166440730947
MovieLens1M,hard,42,local_reliability_vote,5,0.68572598695755,0.688650369644165,0.6766761093421922,0.6766761093421922,0.688650369644165,0.688650369644165,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.688650369644165,0.6153837641080221,0.5717649459838867,0.5623918771743774,0.6867207884788513,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7434032885875375,0.738898041829638,0.8450440676673221
MovieLens1M,hard,42,adaptive_graph_val,5,0.6915047764778137,0.6931344270706177,0.6818066685755523,0.6818066685755523,0.6931344270706177,0.6931344270706177,0,4000840,4000840,2400504,6401344,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6931344270706177,0.6205993374188741,0.5717649459838867,0.5623918771743774,0.6901500821113586,none,0.0,0,15,[],-1.0,-1.0,5,4000840,2400504,3000630,5,3000630,487,10.634573099989211,1,3,1,"[[5,9],[5,11],[7,9],[7,11],[13,14]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7498628051323138,0.7418435063460422,0.8496081279700691
MovieLens1M,hard,42,fixed_ring,5,0.6857060194015503,0.6885454058647156,0.6765444640437348,0.6765444640437348,0.6885454058647156,0.6885454058647156,0,12002520,12002520,6001260,18003780,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6885454058647156,0.6287976185480754,0.5904660224914551,0.5753442049026489,0.6879805326461792,none,0.0,0,15,[],-1.0,-1.0,15,12002520,6001260,0,15,0,0,0.0,0,6,9,"[[0,1],[0,14],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7432926000728329,0.738848323790522,0.8449214707857996
MovieLens1M,hard,42,random_matched,5,0.6845062375068665,0.688155472278595,0.677621807271884,0.677621807271884,0.688155472278595,0.688155472278595,0,4000840,4000840,3600756,7601596,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.688155472278595,0.6222919782002767,0.5717649459838867,0.5717649459838867,0.6888703107833862,none,0.0,0,15,[],-1.0,-1.0,5,4000840,3600756,0,5,0,0,0.0,1,0,4,"[[4,8],[5,11],[5,13],[6,12],[7,14]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7427506854662904,0.7358955470317778,0.8400895347409473
MovieLens1M,hard,42,full_mesh,5,0.6857159733772278,0.6886153817176819,0.6766378325531468,0.6766378325531468,0.6886153817176819,0.6886153817176819,0,84017640,84017640,6001260,90018900,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6886153817176819,0.6294581492741903,0.5914158225059509,0.58070307970047,0.6885554194450378,none,0.0,0,15,[],-1.0,-1.0,105,84017640,6001260,0,105,0,0,0.0,3,36,66,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7433895657596159,0.7388719806155729,0.8450440676673221
MovieLens1M,hard,42,adaptive_pair,5,0.6857159733772278,0.688650369644165,0.6766851516373205,0.6766851516373205,0.688650369644165,0.688650369644165,0,12002520,12002520,6001260,18003780,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.688650369644165,0.6271806200345357,0.583377480506897,0.573619544506073,0.6901500821113586,none,0.0,0,15,[],-1.0,-1.0,15,12002520,6001260,3000630,15,3000630,0,0.7248515999963274,1,4,10,"[[0,2],[0,4],[1,12],[1,13],[2,4],[3,8],[3,10],[5,12],[5,13],[6,10],[6,14],[7,9],[7,11],[8,14],[9,11]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7434008885387082,0.7388827166963632,0.8450281869199797
MovieLens1M,hard,42,adaptive_complementarity,5,0.685416042804718,0.6884304285049438,0.676445110237456,0.676445110237456,0.6884304285049438,0.6884304285049438,0,12002520,12002520,6001260,18003780,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6884304285049438,0.6307262142499288,0.6061177253723145,0.5893862247467041,0.688155472278595,none,0.0,0,15,[],-1.0,-1.0,15,12002520,6001260,3000630,15,3000630,0,0.7335298000107286,0,6,9,"[[0,7],[0,9],[1,12],[1,13],[2,9],[2,11],[3,5],[3,10],[4,7],[4,14],[5,11],[6,8],[6,10],[8,14],[12,13]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.743129515176911,0.7387179669912762,0.8448865121409509
MovieLens1M,hard,42,expander_matched,5,0.6718488931655884,0.6745883226394653,0.6651863276785179,0.6651863276785179,0.6745883226394653,0.6745883226394653,0,4000840,4000840,2400504,6401344,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6745883226394653,0.6205553531646728,0.5904660224914551,0.5623918771743774,0.6867207884788513,none,0.0,0,15,[],-1.0,-1.0,5,4000840,2400504,0,5,0,0,0.0,0,2,3,"[[0,1],[0,14],[11,12],[12,13],[13,14]]","[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7257518221480269,0.7212926649654913,0.8259115931210884
MovieLens1M,hard,42,topk_reliability_vote,5,0.6891552805900574,0.6922746300697327,0.679378098706015,0.679378098706015,0.6922746300697327,0.6922746300697327,0,0,0,2000420,2000420,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6922746300697327,0.6153837641080221,0.5717649459838867,0.5623918771743774,0.6867207884788513,none,0.0,0,15,[],-1.0,-1.0,0,0,2000420,0,0,0,0,0.0,0,0,0,[],"[false, false, false, false, false, false, false, true, false, true, false, false, false, false, true]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.5702402591705322, 0.5799782276153564, 0.5688705444335938, 0.6174403429031372, 0.5634816884994507, 0.5958248972892761, 0.6240189671516418, 0.685106098651886, 0.6161206364631653, 0.6807570457458496, 0.6318373084068298, 0.6692494750022888, 0.5803481340408325, 0.6037032008171082, 0.6379860043525696]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed42.pt,13c60d4d2b7c146195593c8f3d0463debbdf7eaeced45f8938a73f3d773538e4,0.7491141607860331,0.7436813484231477,0.85237137546662
MovieLens1M,hard,43,single_party_best,5,0.6873056888580322,0.6876255869865417,0.6774112849411791,0.6774112849411791,0.6876255869865417,0.6876255869865417,0,0,0,0,0,local_reference,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6790773868560791,0.623041828473409,0.6774377226829529,0.5572080016136169,0.6876255869865417,none,0.0,0,15,[],-1.0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,[],"[true, false, true, false, false, false, true, false, false, false, false, false, false, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6797472238540649, 0.5911058783531189, 0.636186420917511, 0.6109417080879211, 0.6871756911277771, 0.6717589497566223, 0.6873056888580322, 0.668049693107605, 0.5873466730117798, 0.6274782419204712, 0.5626918077468872, 0.6685296297073364, 0.5768288373947144, 0.6751082539558411, 0.5940152406692505]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed43.pt,7e08fae1f0c62e46e005c14ed3ba0f947de3337a31cc1112320124405f2adce0,0.742350482321798,0.7348135699674925,0.8439042477588142
MovieLens1M,hard,43,local_uniform_vote,5,0.6879255175590515,0.6784675121307373,0.6739727924810777,0.6739727924810777,0.6784675121307373,0.6784675121307373,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6790773868560791,0.623041828473409,0.6774377226829529,0.5572080016136169,0.6876255869865417,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[true, false, true, false, false, false, true, false, false, false, false, false, false, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6797472238540649, 0.5911058783531189, 0.636186420917511, 0.6109417080879211, 0.6871756911277771, 0.6717589497566223, 0.6873056888580322, 0.668049693107605, 0.5873466730117798, 0.6274782419204712, 0.5626918077468872, 0.6685296297073364, 0.5768288373947144, 0.6751082539558411, 0.5940152406692505]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed43.pt,7e08fae1f0c62e46e005c14ed3ba0f947de3337a31cc1112320124405f2adce0,0.7374867183729705,0.7122533888068715,0.8380235647978367
MovieLens1M,hard,43,local_reliability_vote,5,0.6885353922843933,0.6790773868560791,0.674564810496614,0.674564810496614,0.6790773868560791,0.6790773868560791,0,0,0,6001260,6001260,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6790773868560791,0.623041828473409,0.6774377226829529,0.5572080016136169,0.6876255869865417,none,0.0,0,15,[],-1.0,-1.0,0,0,6001260,0,0,0,0,0.0,0,0,0,[],"[true, false, true, false, false, false, true, false, false, false, false, false, false, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6797472238540649, 0.5911058783531189, 0.636186420917511, 0.6109417080879211, 0.6871756911277771, 0.6717589497566223, 0.6873056888580322, 0.668049693107605, 0.5873466730117798, 0.6274782419204712, 0.5626918077468872, 0.6685296297073364, 0.5768288373947144, 0.6751082539558411, 0.5940152406692505]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed43.pt,7e08fae1f0c62e46e005c14ed3ba0f947de3337a31cc1112320124405f2adce0,0.7383928566004045,0.71288651955742,0.8389726510963376
MovieLens1M,hard,43,adaptive_graph_val,5,0.693794310092926,0.6934943795204163,0.6855572702669703,0.6855572702669703,0.6934943795204163,0.6934943795204163,0,4000840,4000840,2000420,6001260,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,100021,100021,active,0.5,0.6934943795204163,0.6259295543034872,0.6833664774894714,0.5572080016136169,0.6896301507949829,none,0.0,0,15,[],-1.0,-1.0,5,4000840,2000420,3000630,5,3000630,489,10.415337099999306,1,4,0,"[[0,6],[0,11],[2,4],[2,11],[4,6]]","[true, false, true, false, false, false, true, false, false, false, false, false, false, false, false]","[""rating_interaction_mf"", ""user_profile_mlp"", ""movie_metadata_mlp"", ""genre_knn_mlp"", ""popularity_temporal_mlp"", ""sparse_rating_mf"", ""masked_genres"", ""corrupt_user_profile"", ""outdated_popularity"", ""low_degree_interaction"", ""random_project_movie"", ""weak_genre_knn"", ""highk_noisy_knn"", ""partial_profile"", ""shuffled_feature_diagnostic""]","[0.6797472238540649, 0.5911058783531189, 0.636186420917511, 0.6109417080879211, 0.6871756911277771, 0.6717589497566223, 0.6873056888580322, 0.668049693107605, 0.5873466730117798, 0.6274782419204712, 0.5626918077468872, 0.6685296297073364, 0.5768288373947144, 0.6751082539558411, 0.5940152406692505]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",outputs\movielens_hard15_leakage_safe_20260705\cache\movielens_hard_n15_seed43.pt,7e08fae1f0c62e46e005c14ed3ba0f947de3337a31cc1112320124405f2adce0,0.7502724805087568,0.7355148733521982,0.8478282121097126
